order_id,item_id,item_name,qtt,InsertTime
17036356,8252,חפתים בקופסא דגם עגול זהב,1,2024-03-10 13:18:52.670
17072280,2380,שישיית גרביונים לנשים 40 דנייר מלון - colanta -מידה M,1,2024-03-10 13:18:52.670
17072280,1925,לבנים צבעוניות ילדות שמינייה מידה 8-10,1,2024-03-10 13:18:52.670
17070087,1924,לבנים צבעוניות ילדות שמינייה מידה 6-8,1,2024-03-10 13:18:52.670
17081852,7453,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 11-12,1,2024-03-10 13:18:52.670
17081852,5628,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 8,1,2024-03-10 13:18:52.670
17068095,8079,מטפחת מרובעת חלקה עם סיומת פרנזים - אפור אבן,1,2024-03-10 13:18:52.670
17045622,8079,מטפחת מרובעת חלקה עם סיומת פרנזים - אפור אבן,1,2024-03-10 13:18:52.670
17045622,8081,מטפחת מרובעת חלקה עם סיומת פרנזים - ירוק בקבוק,1,2024-03-10 13:18:52.670
17045622,8083,מטפחת מרובעת חלקה עם סיומת פרנזים - פודרה,1,2024-03-10 13:18:52.670
17052423,8156,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 2-4,1,2024-03-10 13:18:52.670
17052423,8157,שתי זוגות גרביון לילדות 80 דנייר שחור אטום מידה 4-6,1,2024-03-10 13:18:52.670
17035858,8080,מטפחת מרובעת חלקה עם סיומת פרנזים - אפור כהה,1,2024-03-10 13:18:52.670
17035858,8083,מטפחת מרובעת חלקה עם סיומת פרנזים - פודרה,1,2024-03-10 13:18:52.670
17035858,8255,חפתים בקופסא דגם עגול זהב עם שחור,1,2024-03-10 13:18:52.670
17061976,907,תמיסה לעדשות דיספו,1,2024-03-10 13:18:52.670
17067022,7449,שתי זוגות גרביון לבן 70 דנייר דיגום עדין collanta מידה 3-4,1,2024-03-10 13:18:52.670
17067022,8237,חליפה קייצית מבד וופל לבנים - מידה 2,1,2024-03-10 13:18:52.670
17080977,8256,שעון יד מחוגים לגבר כסוף עם רקע כחול ורצועה שחורה - Q&Q,1,2024-03-10 13:18:52.670
17059466,5627,זוג חולצות טריקו קצרות לילדים (גוונים קייציים) מידה 6,1,2024-03-10 13:18:52.670
17059466,8231,זוג חולצות טריקו קצרות לילדים (גוונים בייסיק) מידה 6,1,2024-03-10 13:18:52.670
17059466,7321,"מכנסי דריל (דגמ""ח) לילדים בגוונים כהים - מידה 6",2,2024-03-10 13:18:52.670
17065935,1950,זוג ציציות מוכנות לילדים מידה 4,1,2024-03-10 13:18:52.670
17081953,5610,שישיית גרביונים לנשים 40 דנייר ויזון - colanta -מידה L,1,2024-03-10 13:18:52.670
17081953,2237,שתי זוגות גרביון לילדות 50 דנייר כחול אטום - מידה 10-12,1,2024-03-10 13:18:52.670
17081953,5020,זוג גופיות ציצית לילדים - מידה 8,1,2024-03-10 13:18:52.670
17081953,5377,זוג גופיות ציצית לילדים - מידה 10,2,2024-03-10 13:18:52.670
17055546,5614,שישיית גרביונים לנשים 40 דנייר שחור - colanta -מידה L,1,2024-03-10 13:18:52.670
17055546,7017,שמיניית לבנים צבעוניות ילדים מידה 6-8,1,2024-03-10 13:18:52.670
17055546,2045,שישיית גרביוני כותנה לבן חלק מידה 3-4,1,2024-03-10 13:18:52.670
17075031,6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,1,2024-03-10 13:18:52.670
17068673,6517,תשיעיית גרבי גברים 42-45 - אריזת חיסכון,1,2024-03-10 13:18:52.670
